,storeLocation,storeName,storeAddress,storeCallNum
0,경기 부천시 소사구,부천심곡점,경기도 부천시 장말로 376 심곡동 355-1,032-612-7258
1,경기 성남시 분당구,성남터미널점,"경기도 성남시 분당구 성남대로925번길 16, 성남종합버스터미널 1층",031-725-1004
2,부산 사상구,부산백양대로점,괘법동 141,051-311-5399
3,서울 성동구,왕십리역점,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303
4,서울 마포구,홍대출판사거리점,"서울시 마포구 독막로7길 40, 1층",02-332-3567
5,인천 남동구,간석오거리점,,032-425-0915
6,경기 성남시 수정구,위례중앙점,,031-755-5064
7,서울 강북구,수유사거리점,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999
8,경기 하남시,하남덕풍점,덕풍북로 2,031-792-9389
9,서울 영등포구,전경련회관점,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485
10,대전 서구,대전만년점,"대전 서구 둔산대로117번길 95(만년동, 리더스타운)",
11,대전 서구,대전탄방점,대전 서구 계룡로571번길 23-19,042-482-8425
12,서울 양천구,신월사거리점,"가로공원로 113, 1층",02-2606-5040
13,경남 양산시,양산부산대병원치과동점,물금읍 금오로 20 양산부산대학교병원 치과병동 1층,070-4442-0608
14,경남 양산시,양산부산대병원본점,"물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층",055-362-4582
15,대전 동구,대전역점,"대전 동구 중앙로 215, 3층 대합실",
16,경기 화성시,화성융건릉점,경기도 화성시 효행로 501-3,031-224-6999
17,서울 강남구,커피클럽 선릉역점,서울특별시 강남구 테헤란로 325 1층,02-6196-7935
18,경북 구미시,(하)선산휴게소점,경상북도 구미시 옥성면 중부내륙고속도로 128,
19,경남 창원시 진해구,진해속천점,경남 창원시 진해구 태평로 132,055-547-9777
20,충남 천안시 동남구,천안신부점,"충남 천안시 동남구 만남로 26 대영빌딩 4,5층",041-566-5085
21,경기 양주시,양주옥정점,경기도 양주시 옥정동 963-6,
22,서울 서초구,서초마제스타시티점,"서초대로38길 12, 1층",02-6411-0063
23,부산 동래구,부산명륜역점,"부산광역시 동래구 온천장로5, 1층",051-557-7811
24,대전 중구,대전은행본점,대전 중구 대흥동 153-1,042-222-3288
25,경기 구리시,구리수택점,"경기도 구리시 검배로 73, 할리스커피",031-551-0988
26,경남 진주시,진주평거점,경상남도 진주시 진양호로 46,055-745-9633
27,울산 남구,할리스커피 울산시청점,"삼산로 60, 1층(신정동)",070-7733-7108
28,부산 서구,부산대학교병원1호점,"부산광역시 서구 구덕로 179, 융합동 ",051-231-9647
29,서울 종로구,종로5가점,동호로 401,02-2266-1989
30,전북 전주시 완산구,서전주DT점,전북 전주시 완산구 콩쥐팥쥐로 1713,063-901-0802
31,경기 수원시 영통구,아주대병원점,"경기도 수원시 영통구 월드컵로 164, 아주대학교병원 본관 1층",031-211-5718
32,부산 서구,부산대학교병원2호점,부산광역시 서구 구덕로 179  C동,051-231-9476
33,서울 관악구,난곡사거리점,서울시 관악구 신림동 526-13,02-865-0012
34,부산 북구,부산덕천점,"부산 북구 덕천 1길 21, 1층",051-342-8835
35,경기 남양주시,다산지금점,경기도 남양주시 다산중앙로 82번안길 143-15,070-7778-2409
36,서울 중구,종로DGB점,서울시 중구 다동85 다동빌딩 1층,02-310-9315
37,인천 부평구,부평로데오점,인천광역시 부평구 부평동 193-19 인일메트로 빌딩 1~3층 ,032-505-7130
38,경기 안양시 동안구,인덕원점,"경기도 안양시 동안구 관악대로 480, 101호",031-426-1800
39,대구 동구,대구반야월점,안심로255,053-961-7007
40,경기 용인시 처인구,용인명지대점,경기도 용인시 처인구 명지로116번길 24-2,031-335-9095
41,서울 영등포구,여의도파이낸스타워점,서울특별시 영등포구 국제금융로 2길 32,02-761-3154
42,전북 김제시,전북김제점,전라북도 김제시 검산택지5길 21-10 1층,063-547-9600
43,경남 창원시 성산구,상남중앙점,상남동 25,055-261-5925
44,서울 종로구,커피클럽 센터포인트점,종로구 새문안로5길 31 센터포인트 광화문빌딩 1F,02-6031-6213
45,서울 종로구,서울대병원점,종로구 대학로 101 서울대학교병원 본관 1F,02-741-5815
46,서울 영등포구,구로디지털 뉴스테이점,"시흥대로 595, 105호",070-7547-4100
47,부산 동래구,부산명륜자이점, 부산광역시 동래구 동래로 77,051-554-1001
48,충남 홍성군,충남도청점,충청남도 홍성군 홍북읍 신경리 553,041-631-4725
49,서울 마포구,홍대입구역점,서울시 마포구 양화로 151 1층,02-322-3584
