location,temperature,humidity
강릉,20.0,62
강진군,20.6,55
강화,17.7,67
거제,20.2,64
거창,15.9,72
경주시,20.0,68
고산,21.0,67
고창,20.0,62
고창군,19.8,61
고흥,20.3,57
광양시,20.9,57
광주,19.8,57
구미,16.3,67
군산,18.4,64
금산,15.9,72
김해시,20.9,63
남원,18.2,63
남해,18.9,66
대관령,15.6,60
대구,17.2,72
대전,19.4,56
동두천,17.3,76
동해,19.8,61
목포,19.8,64
문경,17.0,73
밀양,20.3,53
백령도,16.3,74
보령,19.9,60
보성군,21.2,57
보은,16.7,72
봉화,15.2,76
부산,22.6,58
부안,18.3,68
부여,19.7,63
북강릉,18.4,66
북창원,19.6,65
북춘천,14.1,86
산청,17.7,67
상주,14.4,82
서귀포,22.2,64
서산,18.9,64
서울,18.0,68
성산,21.3,69
세종,17.8,65
속초,17.5,79
수원,19.5,57
순창군,18.2,61
순천,19.4,58
안동,13.3,84
양산시,21.9,57
양평,16.7,73
여수,18.8,61
영광군,20.0,61
영덕,18.4,74
영월,15.4,75
영주,16.3,71
영천,17.6,67
완도,20.4,58
울릉도,18.8,70
울산,20.1,63
울진,19.1,65
원주,15.6,68
의령군,21.1,56
의성,15.6,76
이천,17.0,74
인제,14.1,78
인천,18.2,69
임실,18.3,61
장수,18.1,56
장흥,20.2,53
전주,18.3,59
정선군,15.3,69
제주,20.3,75
제천,15.5,76
진도군,21.1,56
진주,19.3,62
창원,19.9,56
천안,17.3,77
철원,16.3,73
청송군,14.2,87
청주,17.8,68
추풍령,16.5,68
춘천,14.5,85
충주,15.5,79
태백,16.5,49
통영,19.9,71
파주,16.0,80
포항,20.2,67
함양군,18.4,52
합천,18.6,60
해남,21.3,52
홍성,17.6,72
홍천,14.1,78
흑산도,20.2,79
